19:33:47:639 [Information Program] Boiling, You're just a miserable copy of me!
11:44:00:435 [Information Program] Boiling, You're just a miserable copy of me!
11:44:00:459 [Fatal Program] No, I'm the upgrade!
11:46:24:526 [Information Program] Boiling, You're just a miserable copy of me!
11:46:24:543 [Fatal Program] No, I'm the upgrade!
11:50:50:306 [Information Program] Boiling, You're just a miserable copy of me!
11:50:50:323 [Fatal Program] No, I'm the upgrade!
11:50:51:352 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.669418E-006, expected: 1.000000E-015. Max iterations: 1000
11:50:51:900 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.281911E-007, expected: 1.000000E-015. Max iterations: 1000
11:50:52:457 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.488213E-007, expected: 1.000000E-015. Max iterations: 1000
11:50:57:008 [Information Program] Boiling, You're just a miserable copy of me!
11:50:57:026 [Fatal Program] No, I'm the upgrade!
11:50:58:061 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 6.446190E-003, expected: 1.000000E-015. Max iterations: 1000
11:50:58:603 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.052323E-004, expected: 1.000000E-015. Max iterations: 1000
11:50:59:148 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.569944E-004, expected: 1.000000E-015. Max iterations: 1000
11:51:04:201 [Information Program] Boiling, You're just a miserable copy of me!
11:51:04:218 [Fatal Program] No, I'm the upgrade!
11:51:05:156 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.670891E-001, expected: 1.000000E-015. Max iterations: 1000
11:51:05:700 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.818529E-002, expected: 1.000000E-015. Max iterations: 1000
11:51:06:231 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.530437E-001, expected: 1.000000E-015. Max iterations: 1000
11:51:06:767 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.047318E-001, expected: 1.000000E-015. Max iterations: 1000
11:51:11:681 [Information Program] Boiling, You're just a miserable copy of me!
11:51:11:698 [Fatal Program] No, I'm the upgrade!
12:00:54:605 [Information Program] Boiling, You're just a miserable copy of me!
12:00:54:622 [Fatal Program] No, I'm the upgrade!
12:24:21:824 [Information Program] Boiling, You're just a miserable copy of me!
12:24:21:842 [Fatal Program] No, I'm the upgrade!
12:37:52:194 [Information Program] Boiling, You're just a miserable copy of me!
12:37:52:219 [Fatal Program] No, I'm the upgrade!
13:14:25:140 [Information Program] Boiling, You're just a miserable copy of me!
13:14:25:164 [Fatal Program] No, I'm the upgrade!
13:14:26:574 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.277840E-005, expected: 1.000000E-015. Max iterations: 1000
13:14:27:126 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.236368E-004, expected: 1.000000E-015. Max iterations: 1000
13:14:27:718 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 4.852905E-006, expected: 1.000000E-015. Max iterations: 1000
13:14:28:268 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.610081E-006, expected: 1.000000E-015. Max iterations: 1000
13:14:32:646 [Information Program] Boiling, You're just a miserable copy of me!
13:14:32:664 [Fatal Program] No, I'm the upgrade!
13:14:33:991 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.574798E-003, expected: 1.000000E-015. Max iterations: 1000
13:14:34:534 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.705692E-003, expected: 1.000000E-015. Max iterations: 1000
13:14:35:081 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.896895E-003, expected: 1.000000E-015. Max iterations: 1000
13:14:35:630 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.890601E-003, expected: 1.000000E-015. Max iterations: 1000
13:14:39:472 [Information Program] Boiling, You're just a miserable copy of me!
13:14:39:495 [Fatal Program] No, I'm the upgrade!
13:14:40:729 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.915386E-005, expected: 1.000000E-015. Max iterations: 1000
13:14:41:288 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.013464E-005, expected: 1.000000E-015. Max iterations: 1000
13:14:41:916 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.172266E-003, expected: 1.000000E-015. Max iterations: 1000
13:14:42:508 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.121948E-004, expected: 1.000000E-015. Max iterations: 1000
13:14:43:079 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.250511E-004, expected: 1.000000E-015. Max iterations: 1000
13:14:43:883 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.025118E-003, expected: 1.000000E-015. Max iterations: 1000
13:14:44:521 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 4.907824E-002, expected: 1.000000E-015. Max iterations: 1000
13:14:45:126 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.159650E-001, expected: 1.000000E-015. Max iterations: 1000
13:14:45:676 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.181309E-001, expected: 1.000000E-015. Max iterations: 1000
13:14:46:233 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.351618E-001, expected: 1.000000E-015. Max iterations: 1000
13:14:46:796 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 9.419956E-001, expected: 1.000000E-015. Max iterations: 1000
13:14:47:379 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.550837E-001, expected: 1.000000E-015. Max iterations: 1000
13:14:47:980 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.834735E-001, expected: 1.000000E-015. Max iterations: 1000
13:14:48:801 [Information Program] Boiling, You're just a miserable copy of me!
13:14:48:819 [Fatal Program] No, I'm the upgrade!
13:27:15:704 [Information Program] Boiling, You're just a miserable copy of me!
13:27:15:721 [Fatal Program] No, I'm the upgrade!
13:27:54:561 [Information Program] Boiling, You're just a miserable copy of me!
13:27:54:579 [Fatal Program] No, I'm the upgrade!
13:28:32:530 [Information Program] Boiling, You're just a miserable copy of me!
13:28:32:548 [Fatal Program] No, I'm the upgrade!
13:29:04:822 [Information Program] Boiling, You're just a miserable copy of me!
13:29:04:842 [Fatal Program] No, I'm the upgrade!
13:29:54:777 [Information Program] Boiling, You're just a miserable copy of me!
13:29:54:794 [Fatal Program] No, I'm the upgrade!
13:35:34:417 [Information Program] Boiling, You're just a miserable copy of me!
13:35:34:434 [Fatal Program] No, I'm the upgrade!
13:42:27:788 [Information Program] Boiling, You're just a miserable copy of me!
13:42:28:021 [Fatal Program] No, I'm the upgrade!
13:55:16:383 [Information Program] Boiling, You're just a miserable copy of me!
13:55:16:402 [Fatal Program] No, I'm the upgrade!
13:56:00:606 [Information Program] Boiling, You're just a miserable copy of me!
13:56:00:630 [Fatal Program] No, I'm the upgrade!
13:56:40:305 [Information Program] Boiling, You're just a miserable copy of me!
13:56:40:324 [Fatal Program] No, I'm the upgrade!
13:57:23:974 [Information Program] Boiling, You're just a miserable copy of me!
13:57:23:992 [Fatal Program] No, I'm the upgrade!
13:58:00:929 [Information Program] Boiling, You're just a miserable copy of me!
13:58:00:946 [Fatal Program] No, I'm the upgrade!
13:58:51:626 [Information Program] Boiling, You're just a miserable copy of me!
13:58:51:649 [Fatal Program] No, I'm the upgrade!
14:06:08:683 [Information Program] Boiling, You're just a miserable copy of me!
14:06:08:704 [Fatal Program] No, I'm the upgrade!
14:06:10:363 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.600130E-007, expected: 1.000000E-015. Max iterations: 1000
14:06:11:160 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.245343E-008, expected: 1.000000E-015. Max iterations: 1000
14:06:11:763 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.293293E-008, expected: 1.000000E-015. Max iterations: 1000
14:06:22:257 [Information Program] Boiling, You're just a miserable copy of me!
14:06:22:276 [Fatal Program] No, I'm the upgrade!
14:06:23:611 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.614695E-004, expected: 1.000000E-015. Max iterations: 1000
14:06:24:158 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 8.274945E-005, expected: 1.000000E-015. Max iterations: 1000
14:06:24:706 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 8.218941E-005, expected: 1.000000E-015. Max iterations: 1000
14:06:25:332 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 8.218775E-005, expected: 1.000000E-015. Max iterations: 1000
14:06:26:034 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 8.218775E-005, expected: 1.000000E-015. Max iterations: 1000
14:06:26:591 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 8.218775E-005, expected: 1.000000E-015. Max iterations: 1000
14:06:27:178 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 8.218775E-005, expected: 1.000000E-015. Max iterations: 1000
14:06:32:006 [Information Program] Boiling, You're just a miserable copy of me!
14:06:32:029 [Fatal Program] No, I'm the upgrade!
14:06:51:451 [Information Program] Boiling, You're just a miserable copy of me!
14:06:51:469 [Fatal Program] No, I'm the upgrade!
14:07:10:097 [Information Program] Boiling, You're just a miserable copy of me!
14:07:10:120 [Fatal Program] No, I'm the upgrade!
14:10:47:133 [Information Program] Boiling, You're just a miserable copy of me!
14:10:47:151 [Fatal Program] No, I'm the upgrade!
14:11:21:605 [Information Program] Boiling, You're just a miserable copy of me!
14:11:21:623 [Fatal Program] No, I'm the upgrade!
14:19:41:394 [Information Program] Boiling, You're just a miserable copy of me!
14:19:41:411 [Fatal Program] No, I'm the upgrade!
14:22:50:755 [Information Program] Boiling, You're just a miserable copy of me!
14:22:50:774 [Fatal Program] No, I'm the upgrade!
14:26:15:890 [Information Program] Boiling, You're just a miserable copy of me!
14:26:15:907 [Fatal Program] No, I'm the upgrade!
14:26:28:099 [Information Program] Boiling, You're just a miserable copy of me!
14:26:28:116 [Fatal Program] No, I'm the upgrade!
14:26:38:593 [Information Program] Boiling, You're just a miserable copy of me!
14:26:38:610 [Fatal Program] No, I'm the upgrade!
14:26:39:838 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.141516E-004, expected: 1.000000E-015. Max iterations: 1000
14:26:40:404 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.621428E-004, expected: 1.000000E-015. Max iterations: 1000
14:26:40:955 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.273532E-004, expected: 1.000000E-015. Max iterations: 1000
14:26:41:527 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.368733E-004, expected: 1.000000E-015. Max iterations: 1000
14:26:42:119 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.343822E-004, expected: 1.000000E-015. Max iterations: 1000
14:26:42:671 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.354849E-004, expected: 1.000000E-015. Max iterations: 1000
14:26:43:236 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.396678E-004, expected: 1.000000E-015. Max iterations: 1000
14:26:43:797 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.812017E-004, expected: 1.000000E-015. Max iterations: 1000
14:26:44:474 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.512435E-004, expected: 1.000000E-015. Max iterations: 1000
14:26:45:036 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.628115E-003, expected: 1.000000E-015. Max iterations: 1000
14:26:45:613 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.186176E-003, expected: 1.000000E-015. Max iterations: 1000
14:26:46:191 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.690634E-002, expected: 1.000000E-015. Max iterations: 1000
14:26:46:773 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.257240E-002, expected: 1.000000E-015. Max iterations: 1000
14:26:47:337 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.881495E-001, expected: 1.000000E-015. Max iterations: 1000
14:26:47:873 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 4.010685E-001, expected: 1.000000E-015. Max iterations: 1000
14:26:48:456 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 9.991447E-001, expected: 1.000000E-015. Max iterations: 1000
14:26:50:925 [Information Program] Boiling, You're just a miserable copy of me!
14:26:50:943 [Fatal Program] No, I'm the upgrade!
14:27:06:480 [Information Program] Boiling, You're just a miserable copy of me!
14:27:06:497 [Fatal Program] No, I'm the upgrade!
14:27:32:030 [Information Program] Boiling, You're just a miserable copy of me!
14:27:32:054 [Fatal Program] No, I'm the upgrade!
14:27:56:200 [Information Program] Boiling, You're just a miserable copy of me!
14:27:56:218 [Fatal Program] No, I'm the upgrade!
14:28:24:402 [Information Program] Boiling, You're just a miserable copy of me!
14:28:24:420 [Fatal Program] No, I'm the upgrade!
14:29:28:756 [Information Program] Boiling, You're just a miserable copy of me!
14:29:28:774 [Fatal Program] No, I'm the upgrade!
14:31:06:437 [Information Program] Boiling, You're just a miserable copy of me!
14:31:06:455 [Fatal Program] No, I'm the upgrade!
